"doc_id","nppes_provider_city","nppes_provider_state","number_of_hcpcs","total_services","total_medicare_allowed_amt","number_of_drug_hcpcs","total_drug_services","total_drug_medicare_allowed_amt","number_of_med_hcpcs","total_med_services","total_med_medicare_allowed_amt","beneficiary_average_risk_score","top_hcpcs_code_1","top_hcpcs_code_2","top_hcpcs_code_3","top_hcpcs_code_diff_submitted_received_amt_1","top_hcpcs_code_diff_submitted_received_amt_2","top_hcpcs_code_diff_submitted_received_amt_3"
"YG2063379","ROCHESTER","MN",8,246,34139.73,0,0,0,8,246,34139.73,1.1336,"99205","99214","99215",0.6573901,0.6378892,0.6179717
"EY3303570","NEW YORK","NY",35,18440,228020.61,3,17560,97721.85,32,880,130298.76,1.6589,"J0585","95873","99205",0.5664274,0.3951431,0.2863377
"LO2277388","SAN GERMAN","PR",15,392,48142.01,0,0,0,15,392,48142.01,1.284,"95930","95925","99213",0.7672661,0.7655737,0.7650978
"JE8381820","SCOTTSDALE","AZ",37,1558,163101.97,0,0,0,37,1558,163101.97,1.1979,"95938","95907","99354",0.7539987,0.6923624,0.684958
"GD2770877","WHITTIER","CA",24,1511,136694.11,0,0,0,24,1511,136694.11,2.702,"99232","99233","99223",0.7840614,0.7840202,0.7839959
"PN6440250","AMARILLO","TX",22,464,40763.1,0,0,0,22,464,40763.1,2.1686,"99233","95909","99232",0.3935051,0.3919614,0.3883138
"PM4252326","ROCHESTER","NY",8,271,33477.92,0,0,0,8,271,33477.92,1.4202,"95816","99204","99205",0.6353623,0.6249,0.5629853
"DN7000358","MOUNT KISCO","NY",8,378,74017.71,0,0,0,8,378,74017.71,1.2075,"95816","95912","95887",0.4714687,0.3856174,0.3133071
"MJ6750209","HARRISONBURG","VA",14,675,69433.1,0,0,0,14,675,69433.1,1.9459,"99233","99232","99223",0.5302632,0.5204614,0.5197348
"YM5490404","BELLEVUE","OH",52,5215,306181,9,2418,6409.43,43,2797,299771.57,1.2184,"J2275","99213","99204",0.544478,0.4846849,0.4696299
"IB2635218","SOUTH BEND","IN",24,1238,43834.51,NA,NA,NA,NA,NA,NA,1.4555,"99232","99223","99214",0.5077138,0.4973111,0.427161
"WM5803946","BREMERTON","WA",37,3055,156013.3,NA,NA,NA,NA,NA,NA,1.2142,"95819","95885","95886",0.3657313,0.3309991,0.3220974
